City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Puerto Natales,-51.7236,-72.4875,11.25,50,40,14.92,CL,1697491968
81,Hondomachi-hondo,32.45,130.2,18.94,63,0,4.42,JP,1697491968
82,Sur,22.5667,59.5289,27.07,72,0,6.02,OM,1697491968
83,Béchar,31.6167,-2.2167,25.18,22,0,2.57,DZ,1697491969
84,Talnakh,69.4865,88.3972,-1.3,97,100,2.46,RU,1697491403
85,Genhe,50.7833,121.5167,-0.31,50,100,1.39,CN,1697491969
86,Holualoa,19.6228,-155.9522,26.04,81,75,4.12,US,1697491969
87,Stanley,54.868,-1.6985,2.66,100,0,0.0,GB,1697491427
88,Dzhangala,49.2167,50.3333,11.06,35,17,7.97,KZ,1697491969
89,Ghadames,30.1337,9.5007,24.35,18,3,3.27,LY,1697491970
90,Solnechnyy,50.7214,136.6319,1.13,96,100,4.53,RU,1697491603
91,Al Burayqah,30.4062,19.5739,22.61,70,0,2.26,LY,1697491970
92,Whitehorse,60.7161,-135.0538,1.43,100,100,0.0,CA,1697491435
93,Pitsunda,43.1592,40.3378,15.1,85,100,9.69,GE,1697491970
94,Touros,-5.1989,-35.4608,25.31,76,45,8.23,BR,1697491546
95,Margaret River,-33.95,115.0667,16.04,65,71,3.75,AU,1697491965
96,Trincomalee,8.5711,81.2335,25.67,83,83,4.15,LK,1697491600
97,Riversdale,18.1659,-76.9642,30.92,82,96,0.73,JM,1697491971
98,Lihue,21.9789,-159.3672,28.77,70,20,5.14,US,1697491971
99,Corumbá,-19.0092,-57.6533,36.95,41,0,6.69,BR,1697491971
100,Constanța,44.1833,28.65,6.5,56,12,3.61,RO,1697491423
101,Nottuln,51.9333,7.35,8.05,94,100,1.78,DE,1697491972
102,Vuktyl,63.8567,57.3094,6.73,81,100,4.47,RU,1697491972
103,Hamilton,39.1834,-84.5333,12.69,76,100,4.12,US,1697491968
104,Punta Arenas,-53.15,-70.9167,10.06,57,75,10.8,CL,1697491972
105,Chinde,26.8418,88.0763,13.58,78,47,2.35,NP,1697491972
106,Mount Gambier,-37.8333,140.7667,10.69,69,64,1.69,AU,1697491973
107,Antofagasta,-23.65,-70.4,17.6,74,15,3.34,CL,1697491349
108,Baikonur,45.6167,63.3167,10.6,43,0,5.62,KZ,1697491973
109,Zhänibek,49.4167,46.85,12.23,59,22,9.06,KZ,1697491973
110,Darwin,-12.4611,130.8418,24.38,88,0,1.03,AU,1697491901
111,Obudu,6.6674,9.1716,23.34,96,100,2.17,NG,1697491974
112,Manokwari,-0.8667,134.0833,26.47,75,82,1.59,ID,1697491974
113,Mount Pearl,47.5166,-52.7813,8.97,97,100,10.8,CA,1697491459
114,Popondetta,-8.7537,148.2534,24.58,90,99,0.96,PG,1697491974
115,Lebu,-37.6167,-73.65,11.21,77,0,10.42,CL,1697491974
116,Lüderitz,-26.6481,15.1594,20.04,51,0,5.54,NA,1697491975
117,Christchurch,-43.5333,172.6333,9.39,90,75,5.14,NZ,1697491975
118,Wailua Homesteads,22.0669,-159.378,28.44,71,20,5.14,US,1697491953
119,Sainte-Marie,-20.8968,55.5496,24.09,90,40,1.54,RE,1697491975
120,La Tuque,47.4334,-72.7824,12.14,66,79,2.06,CA,1697491844
121,Cockburn Town,21.4612,-71.1419,29.98,70,40,4.12,TC,1697491605
122,Newburyport,42.8126,-70.8773,13.17,86,93,1.34,US,1697491713
123,Yellowknife,62.456,-114.3525,6.9,99,100,5.14,CA,1697491952
124,Sos'va,59.1766,61.8558,12.25,84,8,5.36,RU,1697491976
125,Hefei,31.8639,117.2808,16.01,88,0,2.0,CN,1697491976
126,Atafu Village,-8.5421,-172.5159,28.37,77,59,7.97,TK,1697491977
127,Laela,-8.5667,32.05,20.36,59,92,1.12,TZ,1697491977
128,Olonkinbyen,70.9221,-8.7187,0.77,73,100,5.65,SJ,1697491433
129,Salekhard,66.53,66.6019,0.46,95,100,2.78,RU,1697491977
130,Zima,53.9202,102.0442,2.73,84,85,3.44,RU,1697491977
131,Vadsø,70.0744,29.7487,2.49,86,40,5.66,NO,1697491977
132,Ulsan,35.5372,129.3167,11.12,55,0,2.42,KR,1697491978
133,Kingston,17.997,-76.7936,31.53,76,20,4.12,JM,1697491777
134,Al Mawşil al Jadīdah,36.3346,43.0978,22.45,46,68,1.06,IQ,1697491978
135,Sanctuary Point,-35.1114,150.629,14.0,64,77,8.61,AU,1697491978
136,Port Elizabeth,-33.918,25.5701,17.4,90,75,3.6,ZA,1697491978
137,Vilyuchinsk,52.9306,158.4028,8.15,93,100,9.84,RU,1697491433
138,Enewetak,11.3474,162.3373,28.9,76,12,7.34,MH,1697491969
139,Lā‘ie,21.6477,-157.9253,30.03,74,84,1.79,US,1697491979
140,Uturoa,-16.7333,-151.4333,25.59,79,55,6.26,PF,1697491978
141,Yulinshi,38.2906,109.7494,14.06,54,100,3.8,CN,1697491603
142,Dubbo,-32.25,148.6167,10.07,57,0,6.17,AU,1697491980
143,Khandyga,62.6667,135.6,-15.8,72,48,2.09,RU,1697491604
144,Port Alfred,-33.5906,26.891,16.77,90,87,1.79,ZA,1697491572
145,Khāsh,28.2211,61.2158,18.08,22,0,1.59,IR,1697491980
146,Ust-Nera,64.5667,143.2,-22.35,98,61,1.41,RU,1697491416
147,Polyarny,69.1989,33.4478,3.21,85,100,13.01,RU,1697491420
148,Kiffa,16.6166,-11.4045,32.73,10,0,2.72,MR,1697491980
149,Puerto Deseado,-47.7503,-65.8938,14.2,39,6,3.06,AR,1697491981
150,Humaitá,-7.5061,-63.0208,26.55,75,72,0.69,BR,1697491981
151,Hadibu,12.65,54.0333,27.11,78,22,2.33,YE,1697491973
152,Türkmenbaşy,40.0222,52.9552,18.43,63,75,5.14,TM,1697491981
153,Vorgashor,67.5833,63.95,1.71,98,100,3.95,RU,1697491448
154,Igarka,67.4667,86.5833,-0.3,97,100,4.13,RU,1697491982
155,Florø,61.5996,5.0328,8.98,87,100,7.2,NO,1697491414
156,Sola,-13.8833,167.55,27.37,83,75,2.06,VU,1697491982
157,At Tāj,24.2049,23.2857,21.4,27,0,3.85,LY,1697491982
158,Edd,13.9297,41.6925,30.13,66,1,2.97,ER,1697491983
159,Alaghsas,17.0187,8.0168,30.35,17,9,4.65,NE,1697491983
160,Hithadhoo,-0.6,73.0833,27.28,73,19,7.39,MV,1697491964
161,Gremyachinsk,58.5603,57.851,7.71,85,12,4.43,RU,1697491983
162,Happy Valley-Goose Bay,53.3168,-60.3315,4.17,60,20,7.2,CA,1697491398
163,Qaqortoq,60.7167,-46.0333,1.71,97,100,1.57,GL,1697491408
164,Barra de Santo Antônio,-9.4047,-35.5072,23.6,75,22,4.05,BR,1697491984
165,Pisco,-13.7,-76.2167,20.03,77,20,3.6,PE,1697491968
166,Copiapó,-27.3667,-70.3333,14.83,41,100,2.85,CL,1697491955
167,Vila Franca do Campo,37.7167,-25.4333,20.49,99,97,6.2,PT,1697491573
168,Ormara,25.2088,64.6357,26.2,82,13,6.04,PK,1697491985
169,Ad Dilam,23.9915,47.1627,29.23,14,0,4.97,SA,1697491985
170,Stolberg,50.7667,6.2333,7.01,85,100,2.67,DE,1697491452
171,Lagi,10.6667,107.7833,25.1,89,98,2.4,VN,1697491985
172,Invercargill,-46.4,168.35,10.01,77,63,2.68,NZ,1697491891
173,Birao,10.2849,22.7882,24.25,70,28,1.92,CF,1697491986
174,Tsengel,49.4783,100.8894,-1.15,64,11,2.72,MN,1697491986
175,College,64.8569,-147.8028,8.28,71,75,3.09,US,1697491963
176,Nadym,65.5333,72.5167,1.44,97,100,3.14,RU,1697491445
177,Phuthaditjhaba,-28.5242,28.8158,9.26,90,100,3.04,ZA,1697491986
178,Nichinan,31.6,131.3667,15.82,80,0,2.71,JP,1697491987
179,Chamdo,31.1667,97.2333,-0.57,62,79,1.9,CN,1697491987
180,Rabo de Peixe,37.8,-25.5833,19.99,99,40,4.02,PT,1697491572
181,Acaraú,-2.8856,-40.12,26.14,77,4,7.06,BR,1697491987
182,Papao,-17.75,-149.55,29.82,82,90,5.88,PF,1697491434
183,Laojunmiao,39.8333,97.7333,2.72,52,82,2.15,CN,1697491988
184,Iskateley,67.6803,53.1512,3.9,93,100,5.81,RU,1697491431
